Start Time,End Time,Dialogue,Speaker,TextBlob_Score,VADER_Score,Google_Score
1900-01-01 00:00:53.020,"00:00:54,622",I TOLD YOU. ,Laura,0.0,0.0,-0.4000000059604645
1900-01-01 00:00:54.722,"00:00:56,424",TOLD ME WHAT? ,Paul,0.0,0.0,-0.6000000238418579
1900-01-01 00:00:56.524,"00:00:58,659",THAT YOU'D BE SORRY YOU EVER ENCOURAGED ME TO CRY HERE. ,Laura,-0.5,-0.2263,-0.800000011920929
1900-01-01 00:00:58.759,"00:01:01,329",I'M NOT SORRY AT ALL. ,Paul,0.25,0.0572,-0.6000000238418579
1900-01-01 00:01:01.429,"00:01:04,765","YOU DIDN'T EXPECT IT TO BE LIKE THIS, I BET. ",Laura,0.0,0.3612,-0.4000000059604645
1900-01-01 00:01:04.865,"00:01:06,667",LIKE WHAT? ,Paul,0.0,0.3612,0.0
1900-01-01 00:01:11.105,"00:01:13,507",IT'S DISAPPOINTING. ,Laura,-0.6,-0.4939,-0.20000000298023224
1900-01-01 00:01:13.607,"00:01:17,077","I THOUGHT I'D FEEL BETTER, RELIEVED. ",Laura,0.5,0.6705,-0.10000000149011612
1900-01-01 00:01:18.078,"00:01:19,547",I THOUGHT IT'D BE A LOT MORE FUN. ,Laura,0.4,0.5563,0.0
1900-01-01 00:01:19.647,"00:01:21,215",AND IT ISN'T? ,Paul,0.0,0.0,-0.20000000298023224
1900-01-01 00:01:21.315,"00:01:23,217","NO, IT'S HORRIBLE. ",Laura,-1.0,-0.5423,-0.699999988079071
1900-01-01 00:01:23.317,"00:01:27,921","I DON'T KNOW IF I'M ABLE TO TALK TODAY, PAUL. ",Laura,0.5,0.0,-0.30000001192092896
1900-01-01 00:01:28.021,"00:01:30,724",I SHOULDN'T HAVE COME. I SHOULD HAVE JUST-- ,Laura,0.0,0.0,-0.4000000059604645
1900-01-01 00:01:30.824,"00:01:33,361",I SHOULD HAVE JUST CALLED IT OFF. I'M SORRY. ,Laura,-0.5,-0.0772,-0.800000011920929
1900-01-01 00:01:48.942,"00:01:52,446","YOU KNOW, I'VE BEEN SITTING OUT IN THE PARK FOR ABOUT FOUR HOURS. ",Laura,0.0,0.0,-0.5
1900-01-01 00:01:55.283,"00:01:58,252","I WANTED TO CALL IT OFF, THE SESSION, ",Laura,0.0,0.0,-0.699999988079071
1900-01-01 00:01:58.352,"00:01:59,853",BUT... ( sniffs ) ,Laura,0.0,0.0,-0.10000000149011612
1900-01-01 00:01:59.953,"00:02:02,756",I WASN'T SURE I'D BE ABLE TO MAKE IT HOME ALONE. ,Laura,0.5,-0.4519,-0.30000001192092896
1900-01-01 00:02:04.392,"00:02:07,461",I TOOK A CAB HERE. MY CAR'S AT HOME. ,Laura,0.0,0.0,0.0
1900-01-01 00:02:07.561,"00:02:11,299","OH GOD, AT LEAST I THINK IT IS. ",Laura,-0.3,0.2732,-0.10000000149011612
1900-01-01 00:02:14.502,"00:02:17,438","YEAH YEAH, MY CAR'S AT HOME. ",Laura,0.0,0.5267,0.8999999761581421
1900-01-01 00:02:23.244,"00:02:24,745",I CAME THIS CLOSE TO KNOCKING ON YOUR DOOR ,Laura,0.0,0.0,-0.20000000298023224
1900-01-01 00:02:24.845,"00:02:26,146",AND ASKING FOR A SWEATER. ,Laura,0.0,0.0,-0.10000000149011612
1900-01-01 00:02:28.048,"00:02:30,017","MAYBE 5:00 OR 6:00, I CAN'T REMEMBER. ",Laura,0.0,0.0,-0.699999988079071
1900-01-01 00:02:30.117,"00:02:31,419",IT WAS STILL DARK. ,Laura,-0.15,0.0,-0.6000000238418579
1900-01-01 00:02:31.519,"00:02:33,654",I WAITED FOR THE SUN TO COME UP. ,Laura,0.0,0.0,0.0
1900-01-01 00:02:33.754,"00:02:37,625","I'VE NEVER WAITED THIS LONG FOR A SUNRISE, ",Laura,-0.05,0.0,-0.30000001192092896
1900-01-01 00:02:37.725,"00:02:40,894",EXCEPT MAYBE ON A CAMPING TRIP IN FIFTH GRADE. ,Laura,0.0,0.0,-0.30000001192092896
1900-01-01 00:02:43.931,"00:02:45,899",THANK YOU. ,Laura,0.0,0.3612,0.8999999761581421
1900-01-01 00:03:06.053,"00:03:07,955",I HELD MY CELL PHONE ,Laura,0.0,0.0,0.0
1900-01-01 00:03:08.055,"00:03:11,659",AND I WATCHED THE MINUTES GO BY. ,Laura,0.0,0.0,-0.20000000298023224
1900-01-01 00:03:11.759,"00:03:14,695",IT FELT LIKE FOREVER FOR ONE MINUTE TO TURN INTO THE NEXT. ,Laura,0.0,0.3612,-0.30000001192092896
1900-01-01 00:03:14.795,"00:03:18,499","I THOUGHT TO MYSELF, ""HOW STUPID IS THIS, ",Laura,-0.7999999999999999,-0.5267,-0.800000011920929
1900-01-01 00:03:18.599,"00:03:21,168",DYING ON THE STREET LIKE ROADKILL ,Laura,0.0,0.3612,0.0
1900-01-01 00:03:21.269,"00:03:23,504","OUTSIDE YOUR THERAPIST'S OFFICE?"" ",Laura,0.0,0.0,-0.30000001192092896
1900-01-01 00:03:36.216,"00:03:38,452","I'M SORRY, PAUL. I-- ",Laura,-0.5,-0.0772,-0.4000000059604645
1900-01-01 00:03:38.552,"00:03:41,088",I SHOULD HAVE CALLED IT OFF. I SHOULDN'T HAVE COME. ,Laura,0.0,0.0,-0.699999988079071
1900-01-01 00:03:41.188,"00:03:42,756",YOU SHOULD HAVE COME HERE. ,Paul,0.0,0.0,0.800000011920929
1900-01-01 00:03:47.127,"00:03:49,363",WHAT HAPPENED LAST NIGHT? ,Paul,0.0,0.0,-0.30000001192092896
1900-01-01 00:03:51.965,"00:03:55,303","WELL, WHAT DIDN'T HAPPEN? ",Laura,0.0,0.2732,-0.10000000149011612
1900-01-01 00:03:57.405,"00:03:59,707",THE LONG VERSION OR THE BOTTOM LINE? ,Laura,-0.05,0.0,-0.30000001192092896
1900-01-01 00:03:59.807,"00:04:03,444",BECAUSE THE BOTTOM LINE IS VERY SIMPLE-- ,Laura,0.0,0.0,0.6000000238418579
1900-01-01 00:04:04.978,"00:04:06,647",MY LIFE IS OVER. ,Laura,0.0,0.0,-0.10000000149011612
1900-01-01 00:04:06.747,"00:04:11,319",THEN YOU'D BETTER TELL ME THE LONG VERSION. ,Paul,0.225,0.4404,-0.4000000059604645
1900-01-01 00:04:20.193,"00:04:21,962",I LEFT ANDREW. ,Laura,0.0,0.0,-0.30000001192092896
1900-01-01 00:04:22.062,"00:04:25,132",WE HAD A BIG BLOWOUT-- ,Laura,0.0,0.0,-0.20000000298023224
1900-01-01 00:04:25.232,"00:04:27,435","SCREAMING, CRYING-- THE WORKS. ",Laura,-0.2,-0.6908,0.30000001192092896
